PDatTime;Age;ACIDT;AIR_T;BASET;CO2_T;EXT_1;EXT_2;FOLET;O2_T;SUBST;WEIGH;AIR;O2;pH;pO2;STIRR;SUBS;TEMP
;;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
;(h);(ml);(l);(ml);(l);(%);(%);(ml);(l);(ml);(kg);(%);(%);(pH);(%);(rpm);(%);(°C)
02.03.2021 12:17;0;;;;;;;;;;;;;;;;;
02.03.2021 12:22;8,33E-02;12,1;0;15,95;0;0,01;0;2;0;0;0;0;0;6,996049834;103,7266026;373,0579407;0;29,33287375
02.03.2021 12:27;0,166666667;12,1;0;15,95;0;0,01;4,83E-03;2;0;0;0;0;0;6,997352081;103,5768701;404,7222901;0;29,31725831
02.03.2021 12:32;0,25;12,1;0;15,95;0;5,18E-03;1,00E-02;2;0;0;0;0;0;7,010672338;103,7416736;404,8540494;0;29,36113787
02.03.2021 12:37;0,333333333;12,1;0;15,95;0;1,99E-06;0,005198;2;0;0;0;0;0;7,020956812;103,2435134;404,9954456;0;29,44320305
02.03.2021 12:42;0,416666667;12,1;0;15,95;0;4,79E-03;2,00E-06;2;0;0;0;0;0;7,024392623;103,2643821;404,9955;0;29,54741456
02.03.2021 12:47;0,5;12,1;0;15,95;0;5,24E-03;4,75E-03;2;0;0;0;0;0;7,027473998;103,6280996;405,1252717;0;29,64561902
02.03.2021 12:52;0,583333333;12,1;0;15,95;0;4,74E-03;5,26E-03;2;0;0;0;0;0;7,03463129;103,3875446;405,2684033;0;29,72760542
02.03.2021 12:57;0,666666667;12,1;0;15,95;0;1,00E-02;3,56E-06;2;0;0;0;0;0;7,041522907;102,9445084;405,2685;0;29,80329491
02.03.2021 13:02;0,75;12,1;0;15,95;0;5,31E-03;0;2;0;0;0;0;0;7,045220432;103,121242;405,4605092;0;29,86310631
02.03.2021 13:07;0,833333333;12,14672222;0;15,95;0;5,54E-06;4,67E-03;2;0;0;0;0;0;7,052331128;102,6479628;405,4864458;0;29,90898344
02.03.2021 13:12;0,916666667;12,45606294;0;15,95;0;0;5,34E-03;2;0;0;0;0;0;7,054997222;102,6713288;405,2687275;0;29,92498333
02.03.2021 13:17;1;13,05023311;0;15,95;0;0;6,70E-06;2;0;0;0;0;0;7,055462464;102,7332703;405,457879;0;29,93193696
02.03.2021 13:22;1,083333333;13,62988173;0;15,95;0;0;0,009216;2;0;0;0;0;0;7,053695203;102,6501445;405,6776735;0;29,93998804
02.03.2021 13:27;1,166666667;14,19812492;0;15,95;0;0;1,08E-02;2;0;0;0;0;0;7,052381807;102,4770535;405,678;0;29,94688904
02.03.2021 13:32;1,25;14,77819453;0;15,95;0;0;4,59E-03;2;0;0;0;0;0;7,051709165;102,4375561;405,4906105;0;29,96185005
02.03.2021 13:37;1,333333333;15,07233482;0;15,95;0;0;5,43E-03;2;0;0;0;0;0;7,04946078;102,2899996;405,4556514;0;29,98366847
